questions,label
I was planning on making pork tacos tonight but I just checked the fridge and my cilantro has gone bad. Is there anything else I could possibly use that could even come close to replicating that flavor?,m
I just got invited to a neighborhood BBQ potluck type thing and I have absolutely no clue what to bring and its TONIGHT. Help!!!!,e
"I'm meeting my boyfriend's family this weekend and I want to impress by bringing some type of really delicious, seemingly complex (but actually easy) baked good. The fruitier the better.",e
"Opened my pantry this morning and I have literally nothing but olive oil, rice, and some canned goods. Any ideas for a good dinner without having to make a grocery trip?",e
"This recipe tells me to use an air-fryer but I don't have one of those, would the conventional oven work just fine?",m
I want to be able to make restaurant-style french fries but I don't have a deep fryer. Am I out of luck?,e
What even is apple cider vinegar,d
"Okay here's my dilemma: I am craving any indulgent, sugary dessert (so bad) but I'm doing this keto thing and I don't want to break that. Is there any way I can get my fix without falling off the wagon?",e
Super bowl sunday is coming up and I swear every dip includes 1) cream cheese and/or 2) sour cream. I hate both of those things. Please just give me something different.,e
I am begging for someone to finally tell me what washing rice actually does because I swear it makes literally no difference to the end product.,d
I need to know how to make sushi asap because I am spending half my monthly budget on sushi I can't sustain this please help I'm broke but if I don't keep eating sushi I'll be so hungry its the only thing I can eat help me please you're my only hope,e
Tell me how to julienne these carrots.,d
"Can I use canned chicken to make chicken salad, or do I need to buy a rotisserie?",m
"What's a good substitute for rice vinegar, generally?",m
"I want to make beer bread but I'm underage, what could I use instead that might work for the most part?",m
I want to surprise my friend for his birthday by making him his favorite pie: lemon meringue. The only problem is that I have no idea how to make meringue.,e
Say I want to make pecan pie but I have no corn syrup. What do I do?,m
"I've been tasked with bringing the hors doeuvres for this fancy party I'm going to but the only proper dish I'm familiar with that fits that description are deviled eggs. Unfortunately, the host is vegan so those are a no go (even though I think they're delicious). Do you have anything that could work for my situation?",e
My roommate has a stand mixer and I'd like to know what sort of things I could do with that.,e
Is there a difference between a food processor and blender?,d
I would like to make homemade pesto but I'm really not interested in buying pine nuts. Should I be replacing those with something else or can I just forgo them entirely without substitution?,m
"I am requesting knowledge about that which people refer to as ""roasting""",d
I would like to no longer look like a fish out of water when I hear people talking about flambeing something. I've been too afraid to ask about it before because I didn't want to look dumb. Enlighten me.,d
I see this recipe calls for sesame oil. I have olive oil and sesame seeds... would that work?,m
Okay that recipe looks delicious but I'm going to be real with you: I have not purchased eggs in years because I hate cracking them (it just gets all over my hands and ew. Don't even get me started on the cracked eggshell falling in the food). So is there something I could use in place of the eggs basically?,m
Black truffles????? Sorry but I am not Mr. Moneybags. Is there a cheaper alternative?,m
I don't think I even know what meringue is conceptually.,d
can you define what an apricot is,d
can you define what it means to flambe something,d
can you define how to get a sear on a steak,d
can you define how to deep fry something,d
can you define what to do in order to boil a potato?,d
